GEOID,place,state,state_abbr,county,ua_name,ua_pop,congressio,cbg_pop,acs_pop,land_area,biome,cnpysource,tc_goal,treecanopy,tc_gap,priority_i,pctpoc,pctpocnorm,pctpov,pctpovnorm,unemplrate,unemplnorm,dep_ratio,dep_perc,depratnorm,linguistic,lingnorm,health_nor,temp_diff,temp_norm,tes,tesctyscor,holc_grade,child_perc,seniorperc
250010104004,Orleans,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,975,912.0,5.3016157276,Forest,Google,0.5,-1.0,-1.0,0.325235715339173,0.0,0.0,0.06030701754386,0.101451057550418,0.0,0.0,1.832298136645963,0.646929824561403,0.916149068322981,0.0,0.0,0.434329338690992,-3.36,0.299903876962512,100,100.0,,0.166666666666667,0.480263157894737
250010105001,Orleans,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,1217,1431.0,4.7323972017,Forest,Google,0.5,-1.0,-1.0,0.365011435649098,0.009084556254367,0.012169877246417,0.151642208245982,0.255099041909128,0.112068965517241,0.368726908866995,1.450342465753425,0.591893780573026,0.725171232876712,0.0,0.0,0.320667406196711,-0.88,0.379365587952579,100,100.0,,0.111111111111111,0.480782669461915
250010105002,Orleans,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,876,666.0,6.3509235654,Forest,Google,0.5,-1.0,-1.0,0.325679756127782,0.0,0.0,0.037537537537538,0.063147259408942,0.122270742358079,0.402292576419214,1.22,0.54954954954955,0.61,0.0,0.0,0.320667406196711,-1.51,0.359179750080103,100,100.0,,0.106606606606607,0.442942942942943
250010105003,Orleans,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,868,870.0,4.7876516715,Forest,Google,0.5,-1.0,-1.0,0.327027202771548,0.01264367816092,0.016937757536326,0.147126436781609,0.247502417015791,0.0,0.0,1.676923076923077,0.626436781609195,0.838461538461538,0.0,0.0,0.320667406196711,-2.04,0.342198013457225,100,100.0,,0.152873563218391,0.473563218390805
250010106001,Chatham,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,631,584.0,4.1799724146,Forest,Google,0.5,-1.0,-1.0,0.404355236557644,0.008561643835616,0.011469371930731,0.118279569892473,0.198974977389207,0.179611650485437,0.590954403606103,1.807692307692308,0.643835616438356,0.903846153846154,0.0,0.0,0.346038105465638,-2.86,0.315924383210509,97,96.0,,0.0,0.643835616438356
250010106002,Chatham,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,834,900.0,2.2586767839,Forest,Google,0.5,-1.0,-1.0,0.295824251647398,0.048888888888889,0.065492662473794,0.054669703872437,0.091967726140549,0.033864541832669,0.111420389869095,1.200488997555012,0.545555555555556,0.600244498777506,0.0,0.0,0.346038105465638,-3.11,0.307914130086511,100,96.0,,0.076666666666667,0.468888888888889
250010106003,Chatham,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,1180,1288.0,3.2944175486,Forest,Google,0.5,-1.0,-1.0,0.359511953417692,0.020186335403727,0.027042071955936,0.382763975155279,0.643902014279909,0.020833333333333,0.068545386904762,1.153846153846154,0.535714285714286,0.576923076923077,0.0,0.0,0.346038105465638,-1.61,0.355975648830503,100,96.0,,0.124223602484472,0.411490683229814
250010106004,Chatham,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,488,370.0,1.796959925,Forest,Google,0.5,-1.0,-1.0,0.342331158229101,0.0,0.0,0.035135135135135,0.059105834806769,0.0,0.0,2.775510204081633,0.735135135135135,1.0,0.0,0.0,0.346038105465638,2.25,0.479653957065043,91,96.0,,0.0,0.735135135135135
250010107001,Chatham,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,968,824.0,4.5837109096,Forest,Google,0.5,-1.0,-1.0,0.30146480557698,0.214805825242718,0.287758747023264,0.013349514563107,0.022457127302422,0.019774011299435,0.065060028248587,0.925233644859813,0.480582524271845,0.462616822429907,0.0,0.0,0.380769956985314,-1.85,0.348285805831464,100,96.0,,0.141990291262136,0.338592233009709
250010107002,Chatham,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,952,998.0,7.0179325414,Forest,Google,0.5,-1.0,-1.0,0.336447061626234,0.0,0.0,0.029652351738241,0.049882460868069,0.040650406504065,0.133747096399535,1.952662721893491,0.661322645290581,0.976331360946746,0.0,0.0,0.380769956985314,-3.41,0.298301826337712,96,96.0,,0.025050100200401,0.63627254509018
250010107003,Chatham,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,896,930.0,4.0270960827,Forest,Google,0.5,-1.0,-1.0,0.334058432981444,0.074193548387097,0.09939135727328,0.194623655913978,0.327404280976786,0.089156626506024,0.293341222030981,0.827111984282908,0.452688172043011,0.413555992141454,0.0,0.0,0.380769956985314,-3.17,0.305991669336751,95,96.0,,0.082795698924731,0.369892473118279
250010107004,Chatham,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,596,660.0,2.5077619999,Forest,Google,0.5,-1.0,-1.0,0.334529687609171,0.0,0.0,0.372727272727273,0.627017841971113,0.0,0.0,1.088607594936709,0.521212121212121,0.544303797468354,0.0,0.0,0.380769956985314,-4.23,0.272028196090996,100,96.0,,0.243939393939394,0.277272727272727
250010108001,Brewster,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,883,1014.0,4.0257585521,Forest,Google,0.5,-1.0,-1.0,0.410507509613484,0.0,0.0,0.22189349112426,0.373278770115578,0.30393487109905,1.0,0.83695652173913,0.455621301775148,0.418478260869565,0.0,0.0,0.32019339890762,-3.26,0.303107978212111,100,100.0,,0.135108481262327,0.32051282051282
250010108002,Brewster,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,503,125.0,3.3327244118,Forest,Google,0.5,-1.0,-1.0,0.352173185089038,0.0,0.0,0.144,0.242242990654206,0.0,0.0,2.571428571428572,0.72,1.0,0.0,0.0,0.32019339890762,-0.27,0.398910605575136,100,100.0,,0.0,0.72
250010108003,Brewster,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,805,840.0,3.6191496815,Forest,Google,0.5,-1.0,-1.0,0.34551105257384,0.051190476190476,0.068575920934411,0.034523809523809,0.058077436582109,0.153179190751445,0.503986890999174,1.074074074074074,0.517857142857143,0.537037037037037,0.0,0.0,0.32019339890762,0.44,0.421659724447293,100,100.0,,0.1,0.417857142857143
250010108004,Brewster,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,706,445.0,2.8118115249,Forest,Google,0.5,-1.0,-1.0,0.352353238996289,0.110112359550562,0.14750900996396,0.467171717171717,0.78589634664401,0.0,0.0,0.758893280632411,0.431460674157303,0.379446640316206,0.0,0.0,0.32019339890762,-2.43,0.329702018583787,100,100.0,,0.040449438202247,0.391011235955056
250010108005,Brewster,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,1961,2361.0,13.1509883976,Forest,Google,0.5,-1.0,-1.0,0.303579515260106,0.017365523083439,0.02326324790423,0.153678711362647,0.258524935002584,0.082493125572869,0.27141711405002,0.875297855440826,0.466751376535366,0.437648927720413,0.0,0.0,0.32019339890762,-4.22,0.272348606215956,100,100.0,,0.138077085980517,0.32867429055485
250010109001,Brewster,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,1782,1729.0,8.0277809383,Forest,Google,0.5,-1.0,-1.0,0.307141772166445,0.016194331983806,0.021694293789626,0.053731343283582,0.090389175617241,0.026785714285714,0.088129783163265,1.333333333333333,0.571428571428571,0.666666666666667,0.003329017939708,0.015226239293891,0.431655917912165,-3.44,0.297340595962832,100,100.0,,0.147484094852516,0.423944476576055
250010109002,Brewster,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,976,1325.0,2.9695766054,Forest,Google,0.5,-1.0,-1.0,0.31001981772152,0.18188679245283,0.243659665361338,0.087167070217918,0.146636192889955,0.00887573964497,0.029202768385461,0.911976911976912,0.476981132075472,0.455988455988456,0.003329017939708,0.015226239293891,0.431655917912165,-3.01,0.31111823133611,100,100.0,,0.105660377358491,0.371320754716981
250010109003,Brewster,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,1550,1480.0,6.2814865132,Forest,Google,0.5,-1.0,-1.0,0.371145174557908,0.086486486486486,0.115859255481897,0.343377715487036,0.57764475502492,0.0,0.0,1.402597402597403,0.583783783783784,0.701298701298701,0.003329017939708,0.015226239293891,0.431655917912165,-4.38,0.267222044216597,100,100.0,,0.260810810810811,0.322972972972973
250010109004,Brewster,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,834,963.0,2.7102642207,Forest,Google,0.5,-1.0,-1.0,0.247883651373685,0.02803738317757,0.037559513313348,0.079958463136033,0.134509564154075,0.0,0.0,0.362093352192362,0.265835929387331,0.181046676096181,0.003329017939708,0.015226239293891,0.431655917912165,-1.79,0.350208266581224,100,100.0,,0.07061266874351,0.195223260643821
250010110021,Harwich,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,733,630.0,3.2373812453,Forest,Google,0.5,-1.0,-1.0,0.300227699574779,0.041269841269841,0.05528601377658,0.197693574958814,0.332568630771836,0.0,0.0,0.981132075471698,0.495238095238095,0.490566037735849,0.0,0.0,0.453016731867254,-5.67,0.225889138096764,100,97.0,,0.026984126984127,0.468253968253968
250010110022,Harwich,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,969,495.0,5.1470259699,Forest,Google,0.5,-1.0,-1.0,0.337365313206519,0.137373737373737,0.184028968934629,0.078787878787879,0.132540356839422,0.092741935483871,0.305137528801843,0.987951807228916,0.496969696969697,0.493975903614458,0.0,0.0,0.453016731867254,-4.06,0.277475168215316,97,97.0,,0.044444444444444,0.452525252525252
250010110023,Harwich,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,596,704.0,1.9251873498,Forest,Google,0.5,-1.0,-1.0,0.408160723304356,0.009943181818182,0.013320111492281,0.108029197080292,0.181731359574323,0.091911764705882,0.302406118697479,2.128888888888889,0.680397727272727,1.0,0.0,0.0,0.453016731867254,1.21,0.446331304069209,91,97.0,,0.041193181818182,0.639204545454545
250010110024,Harwich,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,2306,2508.0,11.2528044553,Forest,Google,0.5,-1.0,-1.0,0.360162277457608,0.156698564593301,0.209916945021215,0.220935043442284,0.371666428220664,0.086717136958018,0.285314865794907,0.762473647224174,0.432615629984051,0.381236823612087,0.0,0.0,0.453016731867254,-2.66,0.322332585709708,100,97.0,,0.232456140350877,0.200159489633174
250010111001,Harwich,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,986,861.0,4.2927739648,Forest,Google,0.5,-1.0,-1.0,0.264634117305572,0.0,0.0,0.176959619952494,0.297689080293915,0.021782178217822,0.071667256011315,0.339035769828927,0.253193960511034,0.169517884914463,0.002537575639274,0.011606345958389,0.454133894274739,-4.11,0.275873117590516,100,97.0,,0.059233449477352,0.193960511033682
250010111002,Harwich,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,1202,1536.0,2.9315946658,Forest,Google,0.5,-1.0,-1.0,0.285993616453958,0.009114583333333,0.012210102201258,0.1484375,0.249707943925234,0.0,0.0,0.788125727590221,0.440755208333333,0.394062863795111,0.002537575639274,0.011606345958389,0.454133894274739,-2.58,0.324895866709388,100,97.0,,0.194010416666667,0.246744791666667
250010111003,Harwich,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,1705,2124.0,8.1435658077,Forest,Google,0.5,-1.0,-1.0,0.277711313811465,0.007532956685499,0.010091319333404,0.104990583804143,0.176619673689213,0.018326693227092,0.060298093340922,0.807659574468085,0.446798493408663,0.403829787234043,0.002537575639274,0.011606345958389,0.454133894274739,-4.43,0.265619993591797,100,97.0,,0.10969868173258,0.337099811676083
250010111004,Harwich,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,1182,708.0,3.8991440152,Forest,Google,0.5,-1.0,-1.0,0.427341039328363,0.0,0.0,0.365819209039548,0.615396800253445,0.096345514950166,0.316993948742288,1.651685393258427,0.622881355932203,0.825842696629214,0.002537575639274,0.011606345958389,0.454133894274739,-2.67,0.322012175584748,100,97.0,,0.103107344632768,0.519774011299435
250010112001,Harwich,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,1292,1406.0,4.8354057935,Forest,Google,0.5,-1.0,-1.0,0.361737951397423,0.065433854907539,0.087656673555383,0.157706093189964,0.265299969852276,0.067892503536068,0.223378460295009,1.275080906148867,0.560455192034139,0.637540453074434,0.018832391713748,0.086135463341775,0.455690152646082,-3.98,0.280038449214995,100,97.0,,0.074679943100996,0.485775248933144
250010112002,Harwich,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,1193,1009.0,5.160672490000001,Forest,Google,0.5,-1.0,-1.0,0.329149473618292,0.101090188305253,0.135422705088169,0.201189296333003,0.338449283550846,0.043478260869565,0.143051242236025,0.76707530647986,0.434093161546085,0.38353765323993,0.018832391713748,0.086135463341775,0.455690152646082,-5.23,0.239987183595002,100,97.0,,0.070366699702676,0.363726461843409
250010112003,Harwich,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,565,650.0,1.8036180406,Forest,Google,0.5,-1.0,-1.0,0.300712855868193,0.043076923076923,0.057706821480406,0.193396226415094,0.325339446305766,0.0,0.0,0.629072681704261,0.386153846153846,0.31453634085213,0.018832391713748,0.086135463341775,0.455690152646082,-2.68,0.321691765459789,99,97.0,,0.027692307692308,0.358461538461538
250010112004,Harwich,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,711,698.0,1.7031810492,Forest,Google,0.5,-1.0,-1.0,0.412534783373138,0.10458452722063,0.140103800616316,0.215859030837004,0.363127341594961,0.042813455657492,0.140863914373088,1.556776556776557,0.608882521489971,0.778388278388278,0.018832391713748,0.086135463341775,0.455690152646082,1.84,0.466517141941685,95,97.0,,0.210601719197708,0.398280802292264
250010113001,Dennis,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,620,344.0,6.1473412177,Forest,Google,0.5,-1.0,-1.0,0.37032010015316,0.084302325581395,0.112933304080737,0.209302325581395,0.352097370136927,0.072289156626506,0.237844234079174,1.110429447852761,0.526162790697674,0.55521472392638,0.0,0.0,0.42626482256196,0.33,0.418135213072733,90,95.0,,0.058139534883721,0.468023255813953
250010113002,Dennis,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,1206,1099.0,3.6966045142,Forest,Google,0.5,-1.0,-1.0,0.382923304424187,0.077343039126479,0.103610486376981,0.138307552320291,0.23266691044535,0.085201793721973,0.280329115951313,1.526436781609195,0.604185623293904,0.763218390804598,0.0,0.0,0.42626482256196,-0.41,0.394424863825697,100,95.0,,0.065514103730664,0.538671519563239
250010113003,Dennis,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,743,1095.0,3.3997280334,Forest,Google,0.5,-1.0,-1.0,0.279350766661221,0.039269406392694,0.052606185922288,0.084931506849315,0.14287543208296,0.019169329073482,0.063070515746234,0.603221083455344,0.376255707762557,0.301610541727672,0.0,0.0,0.42626482256196,0.03,0.408522909323935,100,95.0,,0.066666666666667,0.30958904109589
250010114001,Dennis,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,784,1086.0,2.8775535296,Forest,Google,0.5,-1.0,-1.0,0.378291061705472,0.0,0.0,0.16390423572744,0.275726751691021,0.023809523809524,0.078337585034014,1.681481481481482,0.62707182320442,0.840740740740741,0.015670910871694,0.071675504069708,0.479549830753829,0.34,0.418455623197693,100,95.0,,0.098526703499079,0.528545119705341
250010114002,Dennis,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,995,1078.0,3.0423058372,Forest,Google,0.5,-1.0,-1.0,0.38137578781361,0.112244897959184,0.150365806700038,0.094619666048237,0.159173269987689,0.099378881987578,0.326974267968057,1.085106382978723,0.520408163265306,0.542553191489362,0.015670910871694,0.071675504069708,0.479549830753829,1.58,0.458186478692727,100,95.0,,0.11873840445269,0.401669758812616
250010114003,Dennis,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,439,265.0,5.286372919800001,Forest,Google,0.5,-1.0,-1.0,0.421451279379885,0.0,0.0,0.328301886792453,0.552283547875154,0.0,0.0,2.19277108433735,0.686792452830189,1.0,0.015670910871694,0.071675504069708,0.479549830753829,-0.34,0.396667734700417,99,95.0,,0.222641509433962,0.464150943396226
250010114004,Dennis,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,834,785.0,4.2771378277,Forest,Google,0.5,-1.0,-1.0,0.340024389107621,0.056050955414013,0.075087128950847,0.284076433121019,0.477885588427883,0.021097046413502,0.069413050030139,0.645702306079665,0.392356687898089,0.322851153039832,0.015670910871694,0.071675504069708,0.479549830753829,-1.16,0.370394104453701,100,95.0,,0.174522292993631,0.217834394904459
250010115001,Dennis,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,712,275.0,1.1249913347,Forest,Google,0.5,-1.0,-1.0,0.372058732445097,0.123636363636364,0.165626072041166,0.236363636363636,0.397621070518267,0.040462427745665,0.133128612716763,0.845637583892617,0.458181818181818,0.422818791946309,0.006259389083625,0.028629150622485,0.536275817170865,0.76,0.431912848446011,100,95.0,,0.090909090909091,0.367272727272727
250010115002,Dennis,Massachusetts,MA,Barnstable County,"Barnstable Town, MA",303660,MA Congressional District 9,983,978.0,2.00622805,Forest,Google,0.5,-1.0,-1.0,0.32171294599955,0.041922290388548,0.056160049388432,0.12678936605317,0.213290522332435,0.0,0.0,0.899029126213592,0.473415132924335,0.449514563106796,0.006259389083625,0.028629150622485,0.536275817170865,1.03,0.440563921819929,100,95.0,,0.103271983640082,0.370143149284254
